Client,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder
1320,1234.9221428572,1234.9221428572,4,4,410.4414285714,410.4414285714,35.7142857143,8.245,212.8571428571,11,11,1,1,6
1265,364.41,364.41,2,2,583.7460714286,583.7460714286,464.2857142857,112.4960714286,0,9,9,3,4,0
919,919.0260714286,898.6085714286,9,7,927.6385714286,898.8892857143,278.5714285714,157.6721428571,438.7282142857,26,22,4,7,8
144,178.5735714286,178.5735714286,2,2,42.4285714286,42.4285714286,14.2857142857,28.1428571429,0,3,3,1,2,0
1195,1227.0417857143,1227.0417857143,2,2,1094.6739285714,1094.6739285714,357.1428571429,330.8525,401.5714285714,30,30,1,16,11
1440,682.6764285714,601.965,12,10,763.1885714286,682.6535714286,114.2857142857,211.4421428571,271.4285714286,41,34,5,20,3
1557,1837.5314285714,1837.5314285714,10,10,1791.25,1791.25,0,0,0,2,2,0,0,0
1352,132.1439285714,132.1439285714,2,2,76.6642857143,76.6642857143,3.5714285714,73.0928571429,0,3,3,1,2,0
779,3300.0767857143,2348.7428571429,29,27,3602.0778571429,2185.4785714286,589.2857142857,195.7375,19.8571428571,56,31,7,10,1
889,25,25,1,1,26.175,26.175,7.1428571429,19.0321428571,0,3,3,1,2,0
1104,4778.4564285714,4118.9710714286,40,28,4534.1242857143,4052.7210714286,1650,534.75,1150.2857142857,102,69,7,34,18
1283,1636.3753571429,1636.3753571429,6,6,4158.575,4158.575,64.2857142857,227.8607142857,3734.8571428572,18,18,1,4,10
426,2163.4014285714,2163.4014285714,3,3,473.4642857143,473.4642857143,178.5714285714,0,291.6428571429,15,15,5,0,6
1019,634.4328571429,634.4328571429,2,2,725.9421428571,725.9421428571,200,238.835,249.6071428571,49,49,8,25,5
373,687.5739285714,687.5739285714,2,2,675.8214285714,675.8214285714,457.1428571429,0,211,21,21,12,0,3
1600,3211.0692857143,1624.5657142857,16,4,3235.0360714286,1610.4714285714,464.2857142857,142.9828571429,71.4285714286,14,11,2,2,1
464,811.3328571429,811.3328571429,3,3,577.3857142857,577.3857142857,160.7142857143,65.4214285714,347.8571428571,12,12,2,3,6
68,874.6642857143,832.8860714286,6,4,815.5914285714,773.8510714286,678.5553571429,34.3392857143,10.7142857143,33,31,13,3,1
958,3315.455,3313.0807142857,9,5,1024.9185714286,918.0435714286,214.2857142857,384.1178571429,419.5864285714,30,22,2,12,10
528,435.6821428571,435.6821428571,2,2,390.0564285714,390.0564285714,125,70.8421428571,190.8214285714,10,10,4,3,2
64,1275.8267857143,1275.8267857143,5,5,1449.4846428572,1449.4846428572,535.7142857143,518.1278571429,393.0353571429,51,51,3,42,4
1509,1165.0003571429,1164.5592857143,4,3,1150.3464285714,1150.3464285714,285.7142857143,24.5964285714,836.5357142857,15,15,2,2,10
337,1675.8867857143,1228.2203571429,8,4,1252.9517857143,1216.3232142857,392.8571428571,174.4775,197.7857142857,23,22,5,7,6
1172,344.9010714286,338.2521428571,4,2,399.25,399.25,0,42.1071428571,357.1428571429,3,3,0,1,2
130,1922.2571428572,1339.5464285714,24,22,1958.1642857143,1350.2607142857,185.7142857143,85.3714285714,496.0357142857,45,24,6,11,3
389,849.5935714286,846.0878571429,4,3,670.8214285714,670.8214285714,642.8571428571,0,26.4285714286,6,6,2,0,1
154,446.4325,446.4325,5,5,1478.4739285714,1478.4739285714,0,1478.4739285714,0,38,38,0,38,0
1466,742.5971428571,742.5971428571,4,4,624.4285714286,624.4285714286,71.4285714286,23.2142857143,526.3928571429,6,6,1,1,3
226,2071.4757142857,2071.4757142857,2,2,1289.1785714286,1289.1785714286,0,0,1285.7142857143,3,3,0,0,2
453,2003.2960714286,2003.2382142857,4,3,2670.3892857143,2670.3892857143,357.1428571429,174.5357142857,2125.8214285714,10,10,1,2,6
279,0.0035714286,0.0035714286,1,1,199.9285714286,199.9285714286,0,0,0,3,3,0,0,0
960,0,0,0,0,8.7142857143,8.7142857143,7.1428571429,0,0,3,3,1,0,0
1237,1135.5182142857,844.215,8,5,856.7178571429,810.6821428571,92.8571428571,4.9678571429,558.3571428571,22,19,4,2,9
184,0.0096428571,0.0096428571,1,1,131.8742857143,131.8742857143,0,129.3432142857,0,4,4,0,2,0
400,419.7171428571,419.7171428571,2,2,2713.1785714286,2713.1785714286,0,0,206.0714285714,7,7,0,0,4
252,398.1464285714,0.0332142857,5,1,969.7142857143,969.7142857143,0,775.0714285714,190.6071428571,5,5,0,1,3
661,359.9785714286,357.1442857143,3,2,495.3289285714,138.1860714286,71.4285714286,64.7932142857,357.1428571429,10,9,1,7,1
1430,988.2214285714,988.2214285714,12,12,1365.2553571429,1365.2553571429,0,122.6482142857,1239.2142857143,16,16,0,7,8
1089,824.3257142857,824.3257142857,2,2,1537.9278571429,1537.9278571429,535.7142857143,0,998.1778571429,14,14,1,0,12
880,8.1432142857,8.1432142857,2,2,42.4285714286,42.4285714286,17.8571428571,24.5714285714,0,9,9,2,7,0
888,407.6814285714,407.6814285714,4,4,387.6785714286,387.6785714286,357.1428571429,0,0,5,5,1,0,0
91,1217.7807142857,1217.7807142857,2,2,1196.1071428572,1196.1071428572,571.4285714286,503.25,121.4285714286,29,29,4,23,2
1270,0.0178571429,0.0178571429,1,1,274.7857142857,274.7857142857,178.5714285714,96.2142857143,0,4,4,2,2,0
774,2256.2417857143,1475.5832142857,20,16,2208.9160714286,1475.5832142857,421.4285714286,0,160.4285714286,30,15,4,0,2
1500,0.0007142857,0.0007142857,1,1,0,0,0,0,0,0,0,0,0,0
1392,791.0521428571,674.6246428571,7,4,0,0,0,0,0,0,0,0,0,0
1363,48.2142857143,48.2142857143,1,1,17.8571428571,17.8571428571,17.8571428571,0,0,1,1,1,0,0
1224,571.5132142857,571.5132142857,2,2,7801.6153571429,7801.6153571429,3271.4285714286,3292.765,170.3928571429,40,40,9,17,6
157,1023.9342857143,1023.9342857143,3,3,1076.5357142857,1076.5357142857,357.1428571429,157.8035714286,343.3214285714,18,18,2,6,7
461,1463.9160714286,1463.8007142857,5,4,1590.5982142857,1590.5982142857,0,340.7517857143,719.9642857143,18,18,0,3,12
1373,33409.2935714286,33409.2935714286,36,36,44078.1839285714,44078.1839285714,1250,246.5121428571,3908.8432142857,44,44,4,6,21
391,636.6425,576.8935714286,10,4,565.7914285714,504.8210714286,178.5714285714,0,137.6785714286,31,18,4,0,6
1249,380.7153571429,380.7153571429,4,4,342.6428571429,342.6428571429,132.1428571429,9.8214285714,195.6428571429,16,16,9,1,4
1323,575.4332142857,575.4332142857,5,5,252.75,252.75,0,120.6071428571,132.1428571429,6,6,0,4,2
38,987.8585714286,987.8585714286,4,4,957.6796428571,957.6796428571,307.1428571429,219.4296428571,427.7142857143,26,26,4,12,9
1259,370.6760714286,339.2867857143,3,2,327.5371428571,323.18,17.8571428571,33.2514285714,221.5,15,13,1,3,7
165,1383.2628571429,1383.2628571429,3,3,1065.9232142857,1065.9232142857,142.8571428571,0,779.0085714286,17,17,1,0,12
1182,2450.1746428572,1928.6564285714,13,7,2266.7289285714,1787.4875,89.2857142857,753.8196428571,911.2882142857,53,18,1,34,13
290,1723.1896428572,1723.1896428572,9,9,4068.5728571429,4068.5728571429,164.2857142857,108.7157142857,3791.5357142857,28,28,1,12,14
191,998.6810714286,998.6810714286,4,4,995.4103571429,995.4103571429,114.2857142857,83.9467857143,790.035,19,19,6,5,4
1153,220.0367857143,220.0367857143,3,3,214.6285714286,214.6285714286,0,8.45,203.7857142857,6,6,0,1,4
24,1141.0925,1141.0925,3,3,902.0678571429,902.0678571429,0,258.425,639.5357142857,22,22,0,6,15
489,0.0014285714,0.0003571429,2,1,85.1071428571,85.1071428571,60.7142857143,24.3928571429,0,5,5,3,2,0
764,2867.8067857143,2857.1532142857,3,2,2395.3085714286,2395.3085714286,0,475.13,1920.0714285714,39,39,0,27,11
1598,8.3496428571,8.2164285714,5,4,5.2142857143,5.2142857143,0,0,5.2142857143,1,1,0,0,1
1215,887.5417857143,887.5417857143,4,4,1333.4321428572,1333.4321428572,571.4285714286,111.2178571429,645.1071428571,17,17,4,3,6
612,4668.5328571429,2989.7296428572,10,5,3182.8603571429,2925.655,35.7142857143,257.2053571429,924.5714285714,29,16,1,13,10
843,2098.15,2098.15,4,4,2136.1214285714,2136.1214285714,357.1428571429,643.5857142857,1130.1785714286,23,23,1,8,11
1239,201.6232142857,201.6232142857,4,4,127.3071428571,127.3071428571,0,73.7357142857,53.5714285714,6,6,0,5,1
1157,1849.1260714286,1696.1325,16,10,3103.2671428572,2210.8057142857,678.5714285714,661.7060714286,736.2857142857,87,75,16,31,16
343,272.8582142857,272.8582142857,3,3,201.4042857143,201.4042857143,82.1428571429,18.2971428571,100.75,12,12,6,4,1
730,654.3382142857,654.3382142857,3,3,323.1317857143,323.1317857143,64.2857142857,0,256.6675,4,4,1,0,2
314,820.8557142857,816.6614285714,3,2,2215.7857142857,2215.7857142857,0,0,394.3571428571,8,8,0,0,6
255,1160.015,1160.015,2,2,1037.1782142857,1037.1782142857,500,73.5714285714,414.4639285714,15,15,5,2,4
683,428.5717857143,428.5717857143,3,3,437.4789285714,437.4789285714,357.1428571429,78.1575,0,7,7,3,2,0
1037,1058.06,797.7528571429,11,8,1071.5128571429,804.3678571429,0,71.4178571429,468.9642857143,25,17,0,1,12
1040,2812.7567857143,2800.1885714286,8,6,804.1739285714,804.1739285714,0,0,192.7453571429,6,6,0,0,3
595,499.5367857143,499.5367857143,2,2,518.3214285714,518.3214285714,514.2857142857,0,0,12,12,8,0,0
1546,0.0003571429,0.0003571429,1,1,87.1785714286,87.1785714286,0,43.8571428571,39.9285714286,11,11,0,8,2
231,899.3146428571,857.4328571429,8,6,886.3235714286,844.4635714286,392.8571428571,123.6535714286,284.1782142857,24,22,2,9,7
470,491.7210714286,491.7210714286,4,4,931.1357142857,931.1357142857,0,847.8142857143,79.5,16,16,0,8,5
248,325.0192857143,325.0192857143,3,3,253.1239285714,253.1239285714,132.1428571429,72.995,47.9860714286,14,14,4,9,1
504,1099.4825,1099.4825,2,2,5698.3464285714,5698.3464285714,2892.8571428572,2168.025,438.5714285714,29,29,6,11,7
1415,414.0360714286,412.5092857143,4,3,303,303,107.1428571429,0,193.6785714286,4,4,1,0,2
1398,0.0014285714,0.0014285714,1,1,1.9642857143,1.9642857143,0,0,0,1,1,0,0,0
341,82.5496428571,82.5496428571,3,3,97.9642857143,97.9642857143,0,0,95.3571428571,4,4,0,0,3
335,428.5753571429,428.5753571429,4,4,840.7428571429,840.7428571429,107.1428571429,403.6,327.7142857143,15,15,2,7,5
756,5619.9507142857,4429.7928571429,37,30,6812.0803571429,4438.2714285714,867.8571428571,911.5635714286,832.8014285714,86,53,6,23,14
762,385.0521428571,385.0521428571,3,3,405.75,405.75,392.8571428571,0,10.7142857143,6,6,3,0,1
1056,0.0217857143,0.0217857143,1,1,0.8939285714,0.8939285714,0,0,0,1,1,0,0,0
1088,1722.7817857143,1722.7817857143,4,4,505.6878571429,505.6878571429,35.7142857143,71.27,395.3107142857,8,8,1,2,4
628,179.4453571429,105.5360714286,4,2,76.0878571429,76.0878571429,0,0,0,3,3,0,0,0
578,1145.6192857143,1145.6192857143,2,2,1598.8457142857,1598.8457142857,567.8571428571,603.9885714286,427,19,19,2,12,5
733,15.6535714286,0,1,0,0,0,0,0,0,0,0,0,0,0
1299,535.7153571429,535.7153571429,2,2,141.1785714286,141.1785714286,0,0,137.7857142857,4,4,0,0,3
57,134.3575,134.3575,20,20,183.735,183.735,107.1428571429,34.735,36.5714285714,6,6,1,2,1
564,0.0017857143,0.0017857143,1,1,136.6428571429,136.6428571429,0,0,134.25,3,3,0,0,2
1510,21684.4957142857,21682.1196428571,7,3,13882.4642857143,13880.1071428571,0,0,13875,18,14,0,0,12
677,475.6814285714,475.6814285714,2,2,216.2964285714,216.2964285714,103.5714285714,112.725,0,13,13,4,9,0
589,1824.7728571429,1803.7814285714,6,5,1115.2857142857,1115.2857142857,0,0,1115.2857142857,7,7,0,0,7
236,433.3582142857,433.3582142857,3,3,512.7392857143,512.7392857143,450,35.3464285714,21.4285714286,25,25,11,3,1
782,64.5689285714,63.2564285714,3,2,346.5678571429,346.5678571429,0,343.175,0,25,25,0,24,0
1518,0.0146428571,0.0146428571,1,1,1.9642857143,1.9642857143,0,0,0,1,1,0,0,0
549,0.0071428571,0.0071428571,1,1,445.25,445.25,428.5714285714,12.4285714286,0,15,15,9,1,0
350,2467.1257142857,1664.4914285714,28,22,2338.3753571429,1539.4914285714,375,0,357.75,36,20,4,0,7
1300,157.1503571429,157.1503571429,2,2,327.7142857143,327.7142857143,121.4285714286,0,206.0714285714,8,8,4,0,3
79,50.3485714286,0.0003571429,3,1,0,0,0,0,0,0,0,0,0,0
698,1664.4432142857,1659.095,3,2,28.6785714286,28.6785714286,0,0,26.2857142857,3,3,0,0,2
67,632.0292857143,632.0292857143,2,2,69.5357142857,69.5357142857,0,60.7857142857,0,3,3,0,1,0
518,535.7164285714,535.7164285714,3,3,556.3642857143,556.3642857143,125,358.0428571429,41.6785714286,14,14,2,7,2
899,403.5721428571,403.5721428571,2,2,401.4385714286,401.4385714286,17.8571428571,2.7742857143,0,4,4,1,1,0
459,782.9675,782.9675,2,2,582.8285714286,582.8285714286,53.5714285714,0,522.2928571429,17,17,1,0,13
749,379.3646428571,379.3646428571,2,2,380.5357142857,380.5357142857,378.5714285714,0,0,3,3,2,0,0
840,336.9085714286,335.73,6,4,1380.3103571429,1377.9532142857,71.4285714286,642.8571428571,236.2496428571,13,9,2,1,3
807,1695.6903571429,1695.6903571429,3,3,1509.3,1509.3,0,264.9785714286,935.25,22,22,0,9,11
767,1944.0467857143,1942.9014285714,5,4,3461.0660714286,1471.1553571429,0,81.7267857143,313.25,13,11,0,4,5
207,53.6039285714,53.6039285714,3,3,16.2489285714,16.2489285714,0,0,0,3,3,0,0,0
1532,2285.7253571429,2285.7253571429,4,4,1500.2378571429,1500.2378571429,0,231.2735714286,1265.5714285714,14,14,0,5,8
1574,0.0071428571,0.0071428571,1,1,0.8939285714,0.8939285714,0,0,0,1,1,0,0,0
754,565.7867857143,565.7867857143,2,2,3.0128571429,3.0128571429,0,0,0,2,2,0,0,0
951,1038.4853571429,926.1214285714,16,7,1262.9546428572,976.805,392.8571428571,287.5385714286,382.1785714286,37,22,4,10,11
674,1552.6810714286,1552.6810714286,10,10,1480.4314285714,1480.4314285714,289.2857142857,458.7528571429,732.1785714286,39,39,3,22,13
696,1521.2507142857,1459.8271428572,5,4,1591.1857142857,1584.5071428572,1035.7142857143,206.0785714286,241.3214285714,26,24,4,11,7
552,428.5742857143,428.5742857143,2,2,411.7575,411.7575,242.8571428571,152.7932142857,10.7142857143,25,25,7,13,1
653,17.5553571429,0,1,0,0,0,0,0,0,0,0,0,0,0
406,829.2332142857,829.2332142857,2,2,517.3571428571,517.3571428571,410.7142857143,16.0714285714,83.25,11,11,3,1,4
1060,157.0717857143,157.0717857143,5,5,144.0453571429,144.0453571429,46.4285714286,96.3667857143,0,9,9,1,7,0
682,1152.6828571429,866.5007142857,5,3,1043.5357142857,1043.5357142857,742.8571428571,0,297.9285714286,22,22,12,0,2
466,74.715,74.715,2,2,14.1071428571,14.1071428571,0,10.7142857143,0,3,3,0,2,0
713,860.505,860.505,3,3,871.1607142857,871.1607142857,521.4285714286,278.7321428571,67.3928571429,29,29,6,16,5
1543,4963.8364285714,2535.9164285714,17,10,2584.3510714286,2540.4053571429,0,95.2285714286,35.7142857143,20,10,0,6,1
168,303.645,303.645,3,3,315.0714285714,315.0714285714,0,0,311.6785714286,7,7,0,0,6
1334,881.7364285714,502.2685714286,10,3,1704.5807142857,1448.4735714286,464.2857142857,250.75,677.4642857143,34,11,3,20,6
1522,3483.0314285714,2840.8239285714,13,6,2926.7796428572,2793.2832142857,0,128.1392857143,2176.2142857143,16,11,0,2,9
454,568.0375,568.0375,2,2,649.8142857143,649.8142857143,642.8571428571,3.4928571429,0,18,18,9,1,0
232,542.9685714286,542.9685714286,2,2,479.3064285714,479.3064285714,0,62.9135714286,413.5714285714,9,9,0,3,5
1136,1164.2892857143,1164.2892857143,5,5,1115.3214285714,1115.3214285714,257.1428571429,46.3928571429,810.8214285714,18,18,5,4,5
216,135.7164285714,135.7164285714,2,2,3.3928571429,3.3928571429,0,0,0,1,1,0,0,0
990,3650.5539285714,3623.9657142857,5,3,3620.63,3615.2714285714,0,0,3071.4285714286,6,5,0,0,2
763,938.5910714286,880.9,7,2,642.75,635.1071428571,500,0,16.0714285714,10,5,1,0,1
1012,671.2157142857,671.2157142857,2,2,671.6428571429,671.6428571429,446.4285714286,0,221.6071428571,5,5,1,0,3
1614,591.2164285714,591.2164285714,3,3,527.9257142857,527.9257142857,125,167.4971428571,194.1785714286,15,15,1,8,3
1538,35830.1928571429,110.1728571429,4,2,35714.2857142857,35714.2857142857,0,0,35714.2857142857,1,1,0,0,1
480,357.1428571429,357.1428571429,1,1,360.5357142857,360.5357142857,0,0,357.1428571429,2,2,0,0,1
1551,67.4985714286,67.4553571429,5,4,471.8789285714,404.4253571429,107.1428571429,61.8107142857,232.0357142857,13,10,1,5,2
1086,389.3942857143,389.3942857143,2,2,394.8928571429,394.8928571429,357.1428571429,35.7857142857,0,4,4,1,2,0
497,0.0017857143,0.0017857143,1,1,0,0,0,0,0,0,0,0,0,0
402,8912.0371428572,8912.0371428572,4,4,10656.6585714286,10656.6585714286,1114.4782142857,3637.6167857143,2261.1760714286,37,37,5,18,5
303,3678.5264285714,2676.0028571429,28,21,3984.0407142857,2676.0028571429,232.1428571429,347.6157142857,756.6785714286,67,39,3,20,14
475,1758.7685714286,1757.7225,5,4,1351.6692857143,1351.6692857143,178.5714285714,214.0621428571,944.75,23,23,2,6,14
561,1886.7139285714,1297.77,20,14,1849.3135714286,1297.77,60.7142857143,78.5642857143,576,32,19,3,3,8
1131,854.5564285714,854.5564285714,4,4,502.9285714286,502.9285714286,285.7142857143,54.8214285714,159,11,11,2,3,5
1169,655.2128571429,655.2128571429,2,2,691.8535714286,691.8535714286,500,189.8892857143,0,9,9,1,7,0
909,789.1296428571,738.23,4,3,450.6785714286,448.8928571429,178.5714285714,0,166.5714285714,8,7,1,0,4
827,1755.2817857143,1750.4042857143,9,6,1474.3214285714,1455.0357142857,607.1428571429,17.8571428571,843.25,26,23,4,1,17
331,535.72,535.72,2,2,729.19,729.19,471.4285714286,249.0114285714,0,36,36,13,16,0
586,14.2864285714,14.2864285714,2,2,14.2857142857,14.2857142857,14.2857142857,0,0,2,2,2,0,0
771,402.8667857143,402.8667857143,2,2,348.1428571429,348.1428571429,196.4285714286,0,149.1071428571,5,5,1,0,3
457,2959.5814285714,2004.2567857143,17,14,2703.7096428572,2004.2567857143,464.2857142857,100.8642857143,335.8214285714,27,16,2,5,3
228,1428.5942857143,1428.5942857143,2,2,900.8928571429,900.8928571429,357.1428571429,208.9642857143,330.9285714286,12,12,1,2,7
1499,1376.7946428572,1339.0503571429,5,4,1733.8507142857,1730.8864285714,285.7142857143,344.9221428571,395.8571428571,31,30,4,10,12
74,833.285,793.8325,8,3,708.3928571429,706.9642857143,214.2857142857,0,492.6785714286,7,5,3,0,2
1356,1853.5732142857,1853.5732142857,3,3,1836.5521428572,1836.5521428572,0,63.1592857143,0,3,3,0,1,0
1201,955.3260714286,955.3260714286,5,5,955.2457142857,955.2457142857,160.7142857143,321.6814285714,264.8214285714,22,22,1,12,6
817,974.0171428571,974.0171428571,5,5,516.1785714286,516.1785714286,0,0,513.6785714286,6,6,0,0,5
1444,330.3585714286,330.3585714286,2,2,285.7142857143,285.7142857143,285.7142857143,0,0,1,1,1,0,0
324,655.08,655.08,4,4,1100.625,1100.625,535.7142857143,257.5535714286,303.4285714286,20,20,2,5,12
1389,1078.7871428572,1078.7871428572,21,21,1792.7857142857,1792.7857142857,0,0,1164.4642857143,11,11,0,0,8
957,1321.4,1320.5517857143,4,3,956.1364285714,956.1364285714,346.4285714286,179.7078571429,426.3928571429,20,20,2,7,10
383,2272.3571428572,2212.0064285714,28,27,2580.7514285714,2578.6442857143,1428.5714285714,320.7464285714,605.0714285714,31,30,2,10,12
1413,6.4332142857,0.0046428571,2,1,143.1689285714,143.1689285714,0,122.9189285714,20.25,15,15,0,14,1
65,191.1789285714,191.1789285714,4,4,190.1071428571,190.1071428571,75,18.5714285714,85.8214285714,19,19,6,9,2
1475,794.7878571429,794.7878571429,4,4,855.9642857143,855.9642857143,407.1428571429,0,445.4285714286,10,10,3,0,6
104,528.3825,527.7946428571,4,3,556.1075,556.1075,0,53,495.8575,10,10,0,1,8
1228,562.7560714286,562.7560714286,2,2,633.5639285714,633.5639285714,135.7142857143,247.8496428571,250,18,18,2,15,1
1465,535.715,535.715,2,2,542.2535714286,542.2535714286,0,0,0,3,3,0,0,0
837,107.7167857143,107.7167857143,2,2,80.9285714286,80.9285714286,0,0,78.75,2,2,0,0,1
1590,17970.2039285714,17970.2039285714,28,28,24382.8028571429,24382.8028571429,2777.4285714286,3635.7014285714,17947.3928571429,83,83,6,59,14
214,491.0453571429,490.3310714286,3,2,809.0321428571,807.6035714286,214.2857142857,139.7107142857,450.2142857143,19,17,2,9,5
1449,1371.3157142857,1326.9660714286,9,7,1657.8535714286,1272.1392857143,621.4285714286,80.175,566.7142857143,28,25,7,7,8
11,451.8478571429,449.3960714286,3,2,412.8928571429,412.8928571429,410.7142857143,0,0,5,5,3,0,0
126,771.6589285714,771.6589285714,8,8,999.0714285714,999.0714285714,0,0,994.7142857143,23,23,0,0,22
1227,948.0632142857,928.5771428571,3,2,1793.2857142857,1793.2857142857,1428.5714285714,50.3571428571,297.3571428571,13,13,2,1,8
456,1953.6546428572,1953.6546428572,5,5,2375.1664285714,2375.1664285714,71.4285714286,1381.9878571429,921.75,20,20,1,11,8
194,58.9307142857,58.9307142857,3,3,342.7071428571,342.7071428571,0,0,0,3,3,0,0,0
385,956.07,955.5775,4,3,1099.0385714286,1099.0385714286,964.2857142857,0,131.2528571429,15,15,4,0,10
816,1321.4303571429,1321.4303571429,2,2,1461.3178571429,1461.3178571429,0,0,909.1464285714,11,11,0,0,7
1183,509.1157142857,484.8396428571,6,3,149.5671428571,149.5671428571,0,0,133.1428571429,6,6,0,0,3
1128,982.1517857143,982.1517857143,3,3,831.8757142857,831.8757142857,0,159.4546428571,627.5639285714,17,17,0,5,8
1293,16961.9910714286,15080.345,22,14,17111.0471428571,15266.0592857143,185.7142857143,0,13195.8214285714,23,15,1,0,5
1084,253.5967857143,253.5967857143,2,2,731.9064285714,731.9064285714,535.7142857143,190.4778571429,0,15,15,4,7,0
329,264.3471428571,192.8571428571,5,3,299.9114285714,192.7685714286,114.2857142857,0,7.1428571429,5,4,2,0,1
1371,4.6521428571,0,6,0,5.4735714286,0.0003571429,0,0,0,6,1,0,0,0
665,4422.4310714286,4422.4310714286,13,13,8875.0160714286,8875.0160714286,0,0,1719.5571428572,15,15,0,0,11
100,1471.7828571429,953.1439285714,11,3,1351.4978571429,911.4642857143,35.7142857143,413.4085714286,327.2857142857,36,13,1,17,8
169,1012.0132142857,1012.0132142857,3,3,869.4657142857,869.4657142857,217.8571428571,246.6775,403.5025,21,21,5,9,6
804,178.5735714286,178.5735714286,2,2,108.7535714286,108.7535714286,0,0,0,3,3,0,0,0
393,3285.735,3285.735,3,3,3931.7142857143,3931.7142857143,0,0,103.5714285714,9,9,0,0,4
1023,357.1489285714,357.1489285714,2,2,869.0296428571,869.0296428571,232.1428571429,184.9939285714,448.3928571429,24,24,2,11,10
1365,1586.8646428572,1586.7510714286,9,8,1735.6821428572,1664.2535714286,428.5714285714,8.8607142857,1221.4285714286,40,38,15,1,8
671,641.3907142857,641.3907142857,2,2,346.25,346.25,0,0,343.4285714286,5,5,0,0,4
752,1036.5678571429,1034.4203571429,3,2,1248.6428571429,1248.6428571429,0,182.6785714286,1053.6428571429,7,7,0,2,3
1179,3125.2357142857,2350.9142857143,37,32,3188.3992857143,2350.9142857143,428.5714285714,162.2607142857,970.6428571429,66,37,6,7,17
94,527.6478571429,527.3632142857,4,3,367.0892857143,367.0892857143,232.1428571429,79,55.3035714286,7,7,1,2,3
1443,760.0767857143,544.1221428571,3,2,1922.3428571429,1919.5214285714,1042.8571428572,626.7714285714,13.6071428571,45,44,16,11,1
33,730.5721428571,730.5721428571,5,5,635.8428571429,635.8428571429,139.2857142857,56.7357142857,436.4285714286,13,13,2,4,6
1326,1035.0014285714,1035.0014285714,4,4,1082.8964285714,1082.8964285714,775,86.2535714286,219.0357142857,13,13,2,3,7
278,267.8614285714,267.8614285714,3,3,344.25,344.25,0,0,240.6785714286,4,4,0,0,3
105,1046.4614285714,1046.4614285714,4,4,683.7242857143,683.7242857143,303.5714285714,374.7957142857,0,13,13,3,6,0
1288,1045.3435714286,1043.8789285714,7,3,662.07,427.6057142857,0,268.6071428571,391.32,11,8,0,2,6
1585,178.5792857143,178.5792857143,5,5,0,0,0,0,0,0,0,0,0,0
939,171.4296428571,171.4296428571,2,2,170.7035714286,170.7035714286,0,0,0,2,2,0,0,0
530,10.9117857143,0.0107142857,2,1,0,0,0,0,0,0,0,0,0,0
689,1071.4289285714,1071.4289285714,3,3,908.275,908.275,0,10.7857142857,0,5,5,0,3,0
535,1917.6771428572,1913.7582142857,8,7,3200,3200,2857.1428571429,0,333.6785714286,10,10,2,0,7
1568,232.1432142857,232.1432142857,4,4,175.4392857143,175.4392857143,28.5714285714,13.8678571429,125.8571428571,9,9,2,4,2
