Client,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL
53,1,1,9,1,1,,0,7522.6664285714,83343.1978571429,531.1228571429,398.3478571429,
54,1,,,,,1,4.55,,,,,7857.1428571429
55,1,,,,,,735.1589285714,,,,,
56,1,1,,,,,583.7142857143,2907.0942857143,,,,
57,1,,,,,,1155.26,,,,,
58,1,,6,,,,1263.0528571429,,1793.9,,,
59,1,,,,,,5676.2464285714,,,,,
60,1,,,,,,3891.1160714286,,,,,
61,1,,,,,,232.8353571429,,,,,
62,1,,,,,,317.9525,,,,,
63,1,1,2,,,,351.8014285714,17220.4528571429,5616.1978571429,,,
64,1,,,1,,,0.7596428571,,,0,,
65,1,,,,,,220.4589285714,,,,,
66,1,1,1,,1,,101.3239285714,4104.8489285714,0,,671.9992857143,
67,1,,,,,,1682.8132142857,,,,,
68,1,,,1,,,4714.4482142857,,,0,,
69,1,,,,,,1909.81,,,,,
70,1,,,,,,346.4853571429,,,,,
71,1,,,1,,,53.5960714286,,,0,,
72,1,,,,,,1377.3742857143,,,,,
73,1,1,1,1,,,179.3571428571,21.0160714286,53571.4285714286,0,,
74,1,1,,,1,,736.7660714286,0,,,18.7621428571,
75,1,1,35,,,,3707.0657142857,5589.0225,4392.4785714286,,,
76,1,,,1,1,1,178.3085714286,,,0,886.5778571429,3447.6735714286
77,1,,,,,,168.1757142857,,,,,
78,1,,,,,,3684.7542857143,,,,,
79,1,2,1,,,,340.195,901.5539285714,4771.7310714286,,,
80,1,,,,,,2756.8267857143,,,,,
81,1,,,,,,5860.1907142857,,,,,
82,1,,1,,,,11324.9078571429,,34612.7903571429,,,
83,1,3,7,,,,14.855,90800.8821428572,0,,,
84,2,,,,,,0,,,,,
85,1,,,1,,,364.4975,,,0,,
86,1,,,,,,34.3221428571,,,,,
87,1,,19,,,,826.4403571429,,1035.5771428572,,,
88,1,,,,,,7153.65,,,,,
89,1,1,2,,,,137.7014285714,893.1703571429,1462.0660714286,,,
90,1,,,,,,649.5714285714,,,,,
91,1,,,,,,0,,,,,
92,1,,,,,,2728.9457142857,,,,,
93,1,2,,1,1,,8.8703571429,3655.8189285714,,23.0642857143,1.4285714286,
94,1,1,,,,,8079.0425,7620.5560714286,,,,
95,1,,,1,,1,3662.2178571429,,,0,,2812.0667857143
96,1,1,2,,,,22.3285714286,2077.6125,14285.7142857143,,,
97,1,1,,1,,1,67.9925,6082.56,,142.0660714286,,809.465
98,1,,,1,,,468.4696428571,,,0,,
99,1,,12,,,,22.8985714286,,4689.0703571429,,,
100,1,,,,1,1,0,,,,247.4932142857,802.8071428571
101,1,1,2,,,,473.3592857143,452.2821428571,14429.0514285714,,,
102,1,,,1,,,48.7710714286,,,114.14,,
103,1,,,,,,42.9907142857,,,,,
104,1,1,1,,,,501.29,41481.5078571429,0,,,
105,1,,,,,,670.2957142857,,,,,
106,1,,3,,,,112.35,,0,,,
107,1,,,,,,23.3307142857,,,,,
108,1,2,,1,,,816.8389285714,0,,0,,
109,1,,,,,,1113.5185714286,,,,,
110,1,1,1,,,,62.4703571429,1146.4957142857,0,,,
111,1,,,1,,,0,,,31.5575,,
112,1,,,,,,204.4614285714,,,,,
113,1,,,1,,1,50.7807142857,,,0,,17300.4896428571
114,1,,,,1,,35.7142857143,,,,1068.2096428572,
115,1,,,,,,415.8978571429,,,,,
116,1,,,,,,637.8357142857,,,,,
117,4,,,1,,,0,,,0,,
118,1,1,2,,,,1184.9382142857,5876.2814285714,23214.2857142857,,,
119,1,1,3,,,,194.9589285714,3573.1132142857,8287.8875,,,
120,1,2,,,,,156.8175,4.5485714286,,,,
121,1,1,1,1,1,,37.8214285714,541.4121428571,329.6078571429,98.1407142857,2.3571428571,
122,1,,,,,,1392.7667857143,,,,,
123,2,,,,,,8883.9682142857,,,,,
124,1,,,1,,,120.495,,,0,,
125,1,,,1,1,,0,,,0,108.1207142857,
126,1,,,1,,,70.7996428571,,,0,,
127,1,,,1,,,2893.1128571429,,,676.7528571429,,
128,1,,,1,,,31.2928571429,,,0,,
129,1,,,,,,1103.6585714286,,,,,
130,1,,,1,,,12.7503571429,,,681.5203571429,,
131,1,,,,,,898.485,,,,,
132,1,1,,,,,79.4185714286,1259.155,,,,
133,1,,,,,,140.6675,,,,,
134,1,,,,,1,2809.1978571429,,,,,7237.2153571429
135,1,,,,,,184.1060714286,,,,,
136,1,,,,,,564.9810714286,,,,,
137,3,,1,,,,185.7221428571,,0,,,
138,1,,,,,,114.5914285714,,,,,
139,1,,,1,1,,1653.9632142857,,,0,940.5742857143,
140,1,,,1,,,7337.8217857143,,,0,,
141,1,1,4,,,,36.6017857143,4264.655,0,,,
142,1,,,,,,1511.6839285714,,,,,
143,1,,,,1,,0,,,,853.2671428571,
144,1,,,,,,1214.7921428572,,,,,
145,1,1,,,,,78.5246428571,57205.4710714286,,,,
146,1,,,,,,0.2582142857,,,,,
147,1,,,,,,125.5625,,,,,
148,1,,3,,,,132.0985714286,,5560.7142857143,,,
149,1,,,,,,574.6835714286,,,,,
150,1,,,1,,,11.5942857143,,,0,,
151,1,1,,,,,3053.7539285714,42257.0017857143,,,,
152,1,,,1,,,4230.1664285714,,,0,,
153,1,1,,1,,,936.1510714286,2514.2160714286,,0,,
154,1,,,,,,785.9264285714,,,,,
155,1,,,,,,0,,,,,
156,1,1,1,,,,417.8764285714,6458.9792857143,9760.0053571429,,,
157,1,,,,,,3970.2717857143,,,,,
158,1,1,,,,,326.6303571429,16117.8971428571,,,,
159,1,,,,,,1577.5682142857,,,,,
160,1,,,,,,3314.2796428572,,,,,
161,1,1,2,,,,154.9292857143,86.9753571429,32280.2139285714,,,
162,1,,,,,,1.9646428571,,,,,
163,1,1,2,,,,1304.8296428572,3096.0871428572,1687.6003571429,,,
164,1,1,9,,,,2690.4603571429,2579.9832142857,2851.1207142857,,,
165,1,,,,,,17.8685714286,,,,,
166,1,,,1,,1,15.7971428571,,,754.9014285714,,2216.4814285714
167,1,,,,,,3446.8114285714,,,,,
168,1,1,,1,,,71.4285714286,17921.3092857143,,0,,
169,1,,,,,,1106.4257142857,,,,,
170,1,,,,,,0,,,,,
171,1,,,,,,4112.7328571429,,,,,
172,1,3,,,1,,0.0414285714,4191.2742857143,,,28.9714285714,
173,1,,,,,,3913.7982142857,,,,,
174,1,,,1,,1,70.7692857143,,,532.6325,,14233.6360714286
175,1,,,,,2,0.0707142857,,,,,20749.2946428571
176,1,,,,,,343.9407142857,,,,,
177,1,,,,,,3515.7771428572,,,,,
178,1,1,,,,,86.6103571429,0.1103571429,,,,
179,1,,,,,,11.6846428571,,,,,
180,1,,,,,,902.4875,,,,,
181,1,1,,,,,549.2064285714,36.6132142857,,,,
182,1,,,,,,443.9885714286,,,,,
183,1,,,,,,4726.6207142857,,,,,
184,1,,,,,,160.9032142857,,,,,
185,1,,,,,,5733.3282142857,,,,,
186,1,,,1,,1,981.5882142857,,,0,,8742.6903571429
187,1,1,25,,,,923.9675,456.4010714286,0,,,
188,1,,,1,,,748.6853571429,,,0,,
189,2,,,,,1,18245.9132142857,,,,,6001.4167857143
190,1,1,,1,,,3732.89,6177.3296428572,,157.9267857143,,
191,1,,,,,,1047.5860714286,,,,,
192,1,2,4,,,,5.2953571429,12783.565,367.8571428571,,,
193,1,1,,,,,142.9532142857,106.1528571429,,,,
194,1,,,,,,239.0639285714,,,,,
195,1,,,,,,5826.9814285714,,,,,
196,1,1,,,,,56.3960714286,0.0457142857,,,,
197,1,1,4,,,,686.3078571429,191591.189642857,0,,,
198,1,,3,,,,3991.9914285714,,0,,,
199,1,,,,,1,151.8246428571,,,,,4461.2364285714
200,2,,2,,1,,0,,0,,476.7142857143,
201,2,,,,,,5112.8564285714,,,,,
202,1,,,1,1,,42.9514285714,,,0,254.9896428571,
203,1,,,,,,10.7728571429,,,,,
204,1,,,,,,0.6821428571,,,,,
205,1,,,1,,,3234.5032142857,,,29.3760714286,,
206,1,1,,,,,11335.0707142857,22893.8228571429,,,,
207,1,,,,,,176.6514285714,,,,,
208,1,,,,,,1.04,,,,,
209,1,,,,,,6833.3828571429,,,,,
210,1,1,7,1,1,1,60226.1417857143,2501.6967857143,0,0,494.0885714286,1193.5246428572
211,1,1,15,1,,,6047.5882142857,1610.6814285714,303.2432142857,272.9392857143,,
212,1,,,1,,,226.8142857143,,,386.6507142857,,
213,1,,,,,,2462.1217857143,,,,,
214,1,,,1,1,,565.8,,,0,3522.2335714286,
215,1,,,,,,12891.6267857143,,,,,
216,1,,,1,,,192.0907142857,,,246.5178571429,,
217,1,1,,,,,8134.3614285714,0,,,,
218,1,,,1,,1,121.6953571429,,,0,,1280.5314285714
219,1,1,27,,,,1400.1689285714,389883.830714286,15095.6492857143,,,
220,1,,,1,,1,252.3603571429,,,0,,293.5996428571
221,1,,,,1,,1442.2846428572,,,,0,
222,1,,,,,,0,,,,,
223,1,,,,,,1899.3332142857,,,,,
224,1,,1,,,,215.4725,,0,,,
225,1,,,1,,,345.6860714286,,,618.3975,,
226,1,,,,,,15718.9778571429,,,,,
227,1,1,8,,,,4710.7196428572,7194.8810714286,0,,,
228,1,1,,,,,10138.79,1.1092857143,,,,
229,2,,,,,,264.9557142857,,,,,
230,1,,,1,,,74934.9560714286,,,0,,
231,2,,,1,,,113.7810714286,,,0,,
232,1,,,,,,33.3542857143,,,,,
233,1,,,,,,15.9821428571,,,,,
234,1,,,1,,,856.3446428571,,,418.7875,,
235,1,,,,,1,253.8321428571,,,,,1685.725
236,1,,,,,,561.1032142857,,,,,
237,1,,,,,,125.0178571429,,,,,
238,1,,,,,,563.4078571429,,,,,
239,1,1,10,,,,0,2.9442857143,227237.104285714,,,
240,1,,1,,,,299.4692857143,,6123.7132142857,,,
241,1,,,,,,170.8567857143,,,,,
242,1,,,,,,708.8621428571,,,,,
243,1,1,11,,,,534.6296428571,83283.0082142857,0,,,
244,1,,,,,,5.6428571429,,,,,
245,1,,,,,,284.3885714286,,,,,
246,2,,,,,1,2588.3489285714,,,,,229.3585714286
247,1,1,,,1,,689.3110714286,351.8667857143,,,0,
248,1,,,,,,776.5903571429,,,,,
249,1,1,,,,,42.9953571429,1733.5775,,,,
250,1,,,,,,536.9514285714,,,,,
251,1,1,,,,,0,6432.6,,,,
252,1,1,,,,,130.7335714286,8247.8582142857,,,,
253,1,,,1,1,,64.6896428571,,,0,779.2857142857,
254,1,,,1,,,1049.0621428572,,,0,,
255,2,,,,,,0.2075,,,,,
256,1,,,1,,,572.1632142857,,,0,,
257,1,,,,,1,265.5046428571,,,,,9723.5232142857
258,1,,,,,,0,,,,,
259,1,1,10,,,,3260.1164285714,15882.9460714286,7542.775,,,
260,1,,,,,,1927.5210714286,,,,,
261,1,,,,,,194.695,,,,,
262,1,,,,,,2614.3335714286,,,,,
263,1,,,,,,40.8128571429,,,,,
264,1,,,,,,4483.5171428572,,,,,
265,1,,,,,,17.7957142857,,,,,
266,1,,,,,,1033.0778571429,,,,,
267,1,,,,,,0,,,,,
268,1,,11,,,,9317.0717857143,,35232.2953571429,,,
269,1,1,,1,,,611.0925,11325.1317857143,,984.7853571429,,
270,1,,,,,,101.3267857143,,,,,
271,1,2,1,,,,0.0014285714,3822.7417857143,4394.6707142857,,,
272,1,,,,,,716.3985714286,,,,,
273,1,,,,,,755.7260714286,,,,,
274,1,,,,,,30.4442857143,,,,,
275,1,,,,,,5221.4257142857,,,,,
276,1,,9,,,,18.9882142857,,66108.2521428572,,,
277,1,,,1,,,423.3692857143,,,0,,
278,2,,,,,,272.3232142857,,,,,
279,3,,,1,,,937.21,,,0,,
280,1,,,,,,0,,,,,
281,1,,1,,,,355.7167857143,,26801.155,,,
282,1,1,,1,,,750.2471428571,6746.3125,,0,,
283,1,,,,,,571.7292857143,,,,,
284,1,,,,,,2505.5635714286,,,,,
285,1,,,,,,89.4457142857,,,,,
286,1,,2,,,,22.4382142857,,7512.6953571429,,,
287,1,,,,,,1681.3917857143,,,,,
288,1,,,,,,3661.9582142857,,,,,
289,1,1,2,1,,,152.8221428571,6597.335,0,0,,
290,1,,,,,,132.9814285714,,,,,
291,2,,,,,,805.28,,,,,
292,1,,,,,,1602.5182142857,,,,,
293,1,,,,,,183.7814285714,,,,,
294,1,1,13,,,,13.1817857143,18834.435,0,,,
295,2,,,,,,2414.4882142857,,,,,
296,1,,,,,,281.0967857143,,,,,
297,1,,,1,,,906.7657142857,,,0,,
298,1,2,3,1,1,,18.7396428571,71.7321428571,0,0,0,
299,1,,8,,,,136.6928571429,,0,,,
300,1,,,,,,0,,,,,
301,1,,,,1,,1231.4421428572,,,,506.2821428571,
302,1,1,1,,,,86.5296428571,24364.765,0,,,
303,3,,,1,1,,3032.8325,,,277.9878571429,251.9357142857,
304,1,,,,,1,1354.99,,,,,7570.7839285714
305,1,,,,,,234.4646428571,,,,,
306,1,1,,,,,224.4542857143,901.3535714286,,,,
307,1,2,3,,,,1019.4682142857,9017.0096428572,11980.3785714286,,,
308,1,,,,,,286.4214285714,,,,,
309,1,,,,,,3116.8592857143,,,,,
310,1,,,,,,0,,,,,
311,1,,3,,,,5780.1839285714,,22495.4117857143,,,
312,2,,,1,,,306.6557142857,,,0,,
313,2,,,1,,,0,,,0,,
314,1,1,4,,,,3948.0425,3.3103571429,714285.714285714,,,
315,1,,,,,,120.7371428571,,,,,
316,1,,,,,,22.7335714286,,,,,
317,1,,,,,,6.3739285714,,,,,
318,1,,,,,,5254.2253571429,,,,,
319,2,1,1,1,,,6808.3135714286,29032.5496428571,696.8657142857,136.0403571429,,
320,1,,,,,,86.4285714286,,,,,
321,1,1,,1,,,166.755,2691.2667857143,,0,,
322,1,1,,,,,2175.27,128617.591071429,,,,
323,1,,,,,,3743.7764285714,,,,,
324,1,,1,,,,11581.9482142857,,202941.608928571,,,
325,1,,,,,2,38.9017857143,,,,,5285.6321428572
326,1,,1,,,,30.425,,0,,,
327,1,2,,1,,,5811.8185714286,1796.83,,0,,
328,1,,,,,,2.415,,,,,
329,1,1,,,,,0,7837.5992857143,,,,
330,1,,1,,,,380.0489285714,,0,,,
331,1,,,,,,0,,,,,
332,1,,,,,,80.3285714286,,,,,
333,1,,,,,,97.4310714286,,,,,
334,1,,,,,,23516.1714285714,,,,,
335,1,,,,,,157.9239285714,,,,,
336,1,1,,1,1,,28.7925,989.6375,,0,531.7671428571,
337,1,1,,1,,,188.9532142857,3591.7307142857,,874.18,,
338,1,,,,,,1889.4114285714,,,,,
339,1,,,,,,490.9314285714,,,,,
340,1,1,,,,,2380.0457142857,50040.8917857143,,,,
341,1,,,,,,1724.3478571429,,,,,
342,1,,5,,,1,5435.9007142857,,9499.5714285714,,,14516.5242857143
343,1,,,1,,,3723.5821428572,,,0,,
344,1,1,,1,,,2275.5053571429,41899.2910714286,,0,,
345,1,,,1,,,11166.4460714286,,,0,,
346,1,,,1,,,248.7714285714,,,468.0807142857,,
347,1,,,,,,6444.0107142857,,,,,
348,1,1,,1,,1,1054.365,12127.5896428571,,0,,6622.2003571429
349,2,2,,,,,247.4267857143,0.0917857143,,,,
350,1,,,1,,,0,,,0,,
351,1,1,,,,,4783.9253571429,5770.6292857143,,,,
352,1,1,,,,,1833.3382142857,219368.646428571,,,,
353,1,1,1,,,,985.76,1437.1467857143,39006.6,,,
354,1,1,1,,,,371.3732142857,27122.0857142857,0,,,
355,1,,,,,,174.485,,,,,
356,1,,,,,,325.75,,,,,
357,1,,,,,,296.3975,,,,,
358,1,,,,,,0.2425,,,,,
359,1,1,,1,,,491.9621428571,10719.3778571429,,0,,
360,4,1,,,,,5871.2321428572,18085.4882142857,,,,
361,1,1,1,,,,1642.2603571429,1586.6567857143,1714.2857142857,,,
362,3,1,,1,,,677.8960714286,3436.7785714286,,0,,
363,1,,,,,,7169.0071428572,,,,,
364,1,,,,,,618.7103571429,,,,,
365,1,,,,,,2664.7432142857,,,,,
366,1,,,1,,,564.0332142857,,,0,,
367,1,,,,,,679.6328571429,,,,,
368,1,,,,,,17.9185714286,,,,,
369,1,,,,,1,383.2585714286,,,,,1001.63
370,1,,,,,,368.9910714286,,,,,
371,1,,,1,,,201.3167857143,,,65.4925,,
372,1,2,,,,,21493.7196428571,6884.0117857143,,,,
373,1,,,,,,0,,,,,
374,1,,,1,,,789.4517857143,,,0,,
375,1,,,1,,,878.4867857143,,,0,,
376,1,,,1,1,,140.06,,,0,617.6560714286,
377,1,,,,,,611.6046428571,,,,,
378,1,1,,1,,,3677.9396428572,16080.9039285714,,0,,
379,1,1,6,,,,7.8696428571,606.1792857143,23214.2857142857,,,
380,1,,,,,,2804.5292857143,,,,,
381,1,,,,,,10.5282142857,,,,,
382,1,1,,,,,90.27,46085.245,,,,
383,1,,,1,,2,695.5,,,40.2571428571,,353.0857142857
384,1,,,,,,2418.8767857143,,,,,
385,1,3,2,1,,,2717.8667857143,48214.3339285714,8922.4892857143,0,,
386,1,1,,,,,7070.9253571429,10.7417857143,,,,
387,1,,1,,,,486.9907142857,,4454.2285714286,,,
388,1,,,,1,,357.1428571429,,,,0.7142857143,
389,1,1,28,,,,25.2175,100639.681071429,0,,,
390,1,1,79,,,,442.3460714286,0.3957142857,5468.8653571429,,,
391,1,,,,1,1,172.5814285714,,,,0.7142857143,4592.3364285714
392,1,1,1,,1,,3365.3417857143,10933.0732142857,0,,520.5289285714,
393,1,,,,,,208.6057142857,,,,,
394,1,,,1,,1,3770.3603571429,,,0,,2557.0525
395,1,,,1,,,102.7571428571,,,0,,
396,1,,,,,,5669.9839285714,,,,,
397,1,,,,,,565.1235714286,,,,,
398,2,1,,,,,3692.9667857143,23.5992857143,,,,
399,1,,,,,,451.7967857143,,,,,
400,1,,,,,,402.3185714286,,,,,
401,1,,,,1,,1439.3242857143,,,,523.3464285714,
402,1,,,,,,3358.4678571429,,,,,
403,1,,,,,,1705.675,,,,,
404,1,,,,,,60.0517857143,,,,,
405,1,,,1,1,,265.5810714286,,,0,0.7142857143,
406,1,,,,,,3481.3732142857,,,,,
407,1,,,,,,5215.2696428572,,,,,
408,1,1,,1,,,4133.4021428572,0.0017857143,,0,,
409,1,,,1,,,348.4028571429,,,0,,
410,1,1,1,,,,156.8464285714,6231.4414285714,10837.7521428571,,,
411,1,,4,,1,1,37207.9742857143,,0,,2.3571428571,6852.9410714286
412,1,1,,,,,376.8910714286,2506.5510714286,,,,
413,1,2,3,1,1,,1668.3721428572,20631.6846428571,0,0,2.3571428571,
414,1,2,14,,,,281.4935714286,714.1492857143,10218.1439285714,,,
415,1,,,,,,1188.3842857143,,,,,
416,1,,,,,,906.5260714286,,,,,
417,1,,,1,,,621.9010714286,,,243.4,,
418,1,,,,,,435.6671428571,,,,,
419,1,,,1,,,352.7821428571,,,0,,
420,1,1,1,,,,0,57822.7571428571,0,,,
421,1,,,,,1,7074.0692857143,,,,,4850.0171428572
422,1,1,1,,,,502.4460714286,92.5060714286,0,,,
423,1,,,,,,13.65,,,,,
424,1,1,1,,,,17234.8921428571,18231.785,1964.6957142857,,,
425,1,,,,,,1313.5132142857,,,,,
426,1,,,,,,515.7646428571,,,,,
427,1,,,,,,1194.0639285714,,,,,
428,2,,,,,,3779.6132142857,,,,,
429,1,,1,,,1,1721.3514285714,,0,,,901.5175
430,1,,,,,,2.4471428571,,,,,
431,1,,,,,,38.5510714286,,,,,
432,1,1,1,1,,,11.1421428571,1325.1767857143,0,284.9132142857,,
433,2,,,,,,114.6428571429,,,,,
434,1,,,,,,2469.8428571429,,,,,
435,1,,,,,,0,,,,,
436,1,,,,,,40.6007142857,,,,,
437,1,,,,,,3.4275,,,,,
438,1,,,,,,8206.7671428572,,,,,
439,1,,,,,,26.425,,,,,
440,2,,,,,,6129.0289285714,,,,,
441,1,,,,,,0.57,,,,,
442,1,,,1,,,1083.0153571429,,,92.625,,
443,1,,,,,2,0,,,,,1038.6967857143
444,1,,,,,1,494.055,,,,,608.9953571429
445,1,,2,,,,2.5639285714,,0,,,
446,1,,,,,,13956.805,,,,,
447,1,,,,,,2418.475,,,,,
448,1,1,5,1,,,39.7510714286,0.0135714286,2989.4539285714,0,,
449,1,,,1,,,16109.6285714286,,,0,,
450,1,,,,,,2.8578571429,,,,,
451,1,,7,,1,,6.6992857143,,538.1303571429,,13.0714285714,
452,2,,,,,,4474.5921428572,,,,,
453,1,1,3,,,,605.08,26022.2746428571,1825.0935714286,,,
454,1,,,,,,0,,,,,
455,1,2,,,1,,33553.8475,1073.4035714286,,,530.3564285714,
456,1,,4,,,,0,,86589.7710714286,,,
457,1,,,1,,,427.5753571429,,,0,,
458,1,,,,,,1744.0264285714,,,,,
459,1,,,,,,8.9978571429,,,,,
460,1,,4,,,,275.7164285714,,0,,,
461,1,1,,,,,6.5378571429,6128.2278571429,,,,
462,1,,,1,,,570.3421428571,,,104.0114285714,,
463,1,,,1,,,182.7582142857,,,0,,
464,2,,,1,,,2249.0496428572,,,237.2971428571,,
465,1,,,,1,,1.7085714286,,,,1.1785714286,
466,1,1,,,,,178.5714285714,2771.0985714286,,,,
467,1,,,,,,355.5842857143,,,,,
468,1,1,3,,,,20.955,745.5110714286,0,,,
469,1,,,,,,4415.6460714286,,,,,
470,1,,,,,,20.6075,,,,,
471,1,,,,,,1923.2803571429,,,,,
472,1,,,,,,12095.0310714286,,,,,
473,1,,,1,,1,6325.9025,,,0,,0
474,1,,,1,,,37.0753571429,,,0,,
475,1,1,1,,,,9428.9478571429,3586.7517857143,0,,,
476,1,,1,1,,,1715.8757142857,,0,0,,
477,2,2,,,,,5419.34,7352.9967857143,,,,
478,1,,,1,,,33573.1517857143,,,0,,
479,1,1,1,1,1,,74.8078571429,4352.0678571429,0,0,627.8571428571,
480,1,,,,,,869.8032142857,,,,,
481,1,1,,,1,,68.4235714286,253.7392857143,,,0,
482,1,,,,,,22.4178571429,,,,,
483,1,,4,1,,,1345.2339285714,,0,8.8689285714,,
484,1,,,,,,214.9560714286,,,,,
485,1,,,,,,1748.5053571429,,,,,
486,2,,,,,,1815.5228571429,,,,,
487,1,,,1,,1,3843.1464285714,,,42.2514285714,,3540.2189285714
488,1,2,,1,,,21.2542857143,5247.9703571429,,0,,
489,1,1,,,,,5021.9982142857,12591.4857142857,,,,
490,1,,,,,,806.4596428571,,,,,
491,1,,,1,1,2,185.9032142857,,,0,0,9115.1128571429
492,1,,,,1,,8846.8257142857,,,,0.4642857143,
493,1,,,,,,2161.5532142857,,,,,
494,1,,,,,1,715.6910714286,,,,,3571.4285714286
495,1,,5,,1,,8.5403571429,,6667.9764285714,,641.5753571429,
496,1,,,,,,0,,,,,
497,1,,,,,,930.3110714286,,,,,
498,1,,,,,,883.9760714286,,,,,
499,1,,,1,,,949.6864285714,,,97.9110714286,,
500,3,1,3,,,,1180.6592857143,10940.4303571429,35627.7096428571,,,
501,1,2,1,,,,460.5771428571,5136.2960714286,0,,,
502,1,,,1,,,950.4725,,,0,,
503,1,,,,,,1175.755,,,,,
504,1,,,,,,20.95,,,,,
505,1,2,,,,,9078.2135714286,4.1825,,,,
506,1,1,,1,,,1407.3417857143,19.3064285714,,339.3071428571,,
507,1,1,3,,1,,395.4264285714,4474.9392857143,0,,0.7142857143,
508,1,,,,,,1329.2439285714,,,,,
509,1,,,1,,,6722.3285714286,,,0,,
510,1,1,,,,,1181.8785714286,5443.6110714286,,,,
511,1,,,1,,1,224.2139285714,,,0,,915.0682142857
512,1,,,,,,825.4510714286,,,,,
513,1,,,,,,29.4857142857,,,,,
514,1,,,,,,27.0903571429,,,,,
515,1,2,,,,,956.6560714286,10861.7475,,,,
516,1,1,,,,,94.8860714286,4815.9857142857,,,,
517,1,,,,,,17.0510714286,,,,,
518,1,,,,,,1704.7117857143,,,,,
519,1,,,,,,210.8446428571,,,,,
520,1,1,,,,,1401.1364285714,3779.0092857143,,,,
521,1,,,1,,,80.2725,,,0,,
522,3,,,,,,1.2807142857,,,,,
523,1,,,,,,7041.8525,,,,,
524,1,,9,,,,57.6117857143,,3571.4285714286,,,
525,1,1,4,,,,0.3882142857,3845.9917857143,31884.5092857143,,,
526,1,,,,,1,237.4757142857,,,,,7142.8571428572
527,1,,,,,,1780.2517857143,,,,,
528,1,,,1,,,0,,,0,,
529,1,1,,,,,2014.4267857143,36183.4335714286,,,,
530,1,2,2,,,,349.085,11980.9232142857,28571.4285714286,,,
531,1,,,,,,338.0025,,,,,
532,1,3,,,,,2271.0578571429,16385.8342857143,,,,
533,1,,,,,,50,,,,,
534,1,,,,,,0,,,,,
535,1,1,,,,,9.6364285714,104847.1275,,,,
536,1,,,,,,663.8435714286,,,,,
537,1,,1,,,,814.4560714286,,0,,,
538,1,1,,,,,4.2732142857,3913.1664285714,,,,
