Client,Sex,Age,Tenure,VolumeCred,VolumeCred_CA,TransactionsCred,TransactionsCred_CA,VolumeDeb,VolumeDeb_CA,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDeb_CA,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,Sale_MF,Sale_CC,Sale_CL,Revenue_MF,Revenue_CC,Revenue_CL
654,1.0,36,148,3035.7214285714003,3035.7214285714003,5.0,5.0,3102.8239285714003,3102.8239285714003,161.9821428571,195.7985714286,2370.2871428572,26.0,26.0,1.0,9.0,12.0,1,,,,,,1657.3832142857,,,,,,,,,,,
54,0.0,38,149,864.5207142857,721.4321428571001,3.0,2.0,663.4678571429,647.7892857143,0.0,0.0,107.14285714290001,6.0,4.0,0.0,0.0,1.0,1,,,,,1.0,4.55,,,,,7857.1428571429005,,,,,,
308,1.0,45,135,148.5725,148.5725,3.0,3.0,300.3214285714,300.3214285714,160.7142857143,32.8571428571,103.7142857143,12.0,12.0,6.0,1.0,1.0,1,,,,,,286.4214285714,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
416,1.0,44,95,5704.231785714301,5704.231785714301,5.0,5.0,185.3928571429,185.3928571429,28.5714285714,156.8214285714,0.0,25.0,25.0,4.0,21.0,0.0,1,,,,,,906.5260714286001,,,,,,1.0,0.0,0.0,10.363035714299999,0.0,0.0
328,1.0,27,10,1408.4760714285999,1408.4760714285999,2.0,2.0,1.9642857143,1.9642857143,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,,,,,,2.415,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
938,0.0,57,33,448.4671428571,448.465,3.0,2.0,470.5285714286,470.5285714286,85.7142857143,221.5285714286,163.2857142857,17.0,17.0,2.0,9.0,6.0,1,1.0,2.0,,,,7.5767857143,52743.0907142857,0.0,,,,0.0,1.0,1.0,0.0,4.9285714286,7.8121428571000004
1445,1.0,27,28,34.7667857143,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,1.0,,,6081.0039285714,6453.4589285714,,0.0,,,,,,,,
285,1.0,76,249,388.64321428569997,388.64321428569997,2.0,2.0,395.1428571429,395.1428571429,382.1428571429,7.1071428571,0.0,6.0,6.0,2.0,1.0,0.0,1,,,,,,89.44571428569999,,,,,,0.0,1.0,0.0,0.0,5.6428571429,0.0
1404,1.0,68,11,198.9607142857,198.9607142857,3.0,3.0,65.7142857143,65.7142857143,0.0,0.0,64.6071428571,3.0,3.0,0.0,0.0,2.0,1,,,,,,133.4310714286,,,,,,0.0,1.0,0.0,0.0,1.7867857143,0.0
387,0.0,36,149,489.9671428571,489.9671428571,2.0,2.0,502.3928571429,502.3928571429,442.8571428571,0.0,57.1428571429,4.0,4.0,1.0,0.0,2.0,1,,1.0,,,,486.9907142857,,4454.2285714286,,,,0.0,0.0,1.0,0.0,0.0,10.3103571429
441,0.0,46,0,371.4307142857,371.4307142857,5.0,5.0,311.2607142857,311.2607142857,25.0,65.1178571429,203.2857142857,8.0,8.0,2.0,2.0,3.0,1,,,,,,0.57,,,,,,0.0,0.0,1.0,0.0,0.0,6.25
1098,0.0,64,118,10117.8157142857,6732.9342857143,19.0,12.0,8662.1878571429,7661.514285714301,767.8571428571,255.0985714286,4195.6785714286,47.0,29.0,2.0,12.0,24.0,2,,2.0,1.0,1.0,1.0,143.1628571429,,0.0,439.355,2382.9460714285997,10628.5335714286,,,,,,
883,1.0,34,67,354.6435714286,354.6435714286,4.0,4.0,341.83071428569997,341.83071428569997,257.1428571429,0.0,82.1878571429,7.0,7.0,2.0,0.0,4.0,1,,,,,,236.21785714290002,,,,,,1.0,0.0,0.0,2.2319642856999997,0.0,0.0
547,1.0,52,31,528.9292857143,526.3135714286,3.0,2.0,325.9857142857,325.9857142857,0.0,102.09285714290002,222.8214285714,11.0,11.0,0.0,2.0,8.0,1,1.0,1.0,,,,4446.7946428571995,1253.6607142857001,33004.4614285714,,,,1.0,0.0,0.0,2.1423214286000003,0.0,0.0
317,0.0,35,53,709.0907142857001,709.0907142857001,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,,,,,6.3739285714,,,,,,0.0,1.0,0.0,0.0,4.2867857143,0.0
1579,0.0,50,0,4713.6453571429,4665.3357142857,4.0,3.0,3276.0932142857,3276.0932142857,1571.4285714285998,914.9503571429,787.2142857142999,25.0,25.0,5.0,10.0,8.0,1,1.0,3.0,,,,427.1817857143,8593.7439285714,0.0,,,,0.0,0.0,1.0,0.0,0.0,4.3889285714
97,1.0,71,135,3048.8942857142997,2560.7635714286,20.0,14.0,2644.3185714286,2314.8832142857,1057.1428571428999,304.3317857143,433.1928571429,53.0,44.0,9.0,15.0,10.0,1,1.0,,1.0,,1.0,67.9925,6082.56,,142.0660714286,,809.465,,,,,,
882,0.0,36,150,418.0507142857,416.8628571429,3.0,2.0,1020.2821428572,1020.2821428572,0.0,281.0321428571,736.75,14.0,14.0,0.0,8.0,5.0,1,1.0,1.0,,,,51.971785714300005,19147.4546428571,11207.1732142857,,,,0.0,0.0,0.0,0.0,0.0,0.0
1201,1.0,61,132,955.3260714286,955.3260714286,5.0,5.0,955.2457142857,955.2457142857,160.7142857143,321.6814285714,264.8214285714,22.0,22.0,1.0,12.0,6.0,2,,,1.0,,,115.4642857143,,,0.0,,,,,,,,
1461,0.0,32,158,1056.6385714286,749.9442857142999,12.0,10.0,1217.6742857143,749.9442857142999,0.0,0.0,434.5714285714,19.0,10.0,0.0,0.0,5.0,1,,,1.0,,,38.3035714286,,,0.0,,,0.0,1.0,0.0,0.0,4.2857142857,0.0
1182,0.0,47,86,2450.1746428572,1928.6564285714,13.0,7.0,2266.7289285714,1787.4875,89.2857142857,753.8196428571001,911.2882142857001,53.0,18.0,1.0,34.0,13.0,1,,,1.0,1.0,,3044.5989285714,,,0.0,512.8,,1.0,0.0,0.0,6.9973214286,0.0,0.0
18,0.0,25,41,2585.3571428572,2390.9071428572,8.0,2.0,1869.4778571429001,1274.1496428572,703.5714285714,712.6075,266.4285714286,44.0,24.0,6.0,22.0,7.0,1,,,,1.0,,935.9632142857,,,,1016.2925,,,,,,,
561,1.0,51,25,1886.7139285714002,1297.77,20.0,14.0,1849.3135714285997,1297.77,60.714285714300004,78.5642857143,576.0,32.0,19.0,3.0,3.0,8.0,1,,,1.0,1.0,,269.3685714286,,,0.0,619.2857142857,,0.0,0.0,1.0,0.0,0.0,5.2142857143
273,0.0,40,67,0.0075,0.0075,1.0,1.0,129.2257142857,129.2257142857,89.2857142857,21.7614285714,15.6785714286,9.0,9.0,4.0,2.0,1.0,1,,,,,,755.7260714286,,,,,,,,,,,
1381,0.0,38,135,571.6182142857,571.6182142857,3.0,3.0,57.071428571400006,57.071428571400006,10.714285714299999,46.3571428571,0.0,6.0,6.0,1.0,5.0,0.0,1,,,,,,144.8714285714,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,71,0,377.62357142860003,377.6203571429,7.0,6.0,13.9642857143,13.9642857143,0.0,0.0,11.7857142857,2.0,2.0,0.0,0.0,1.0,1,1.0,,,,,549.2064285714,36.6132142857,,,,,0.0,0.0,1.0,0.0,0.0,12.943571428599999
63,0.0,37,29,623.8671428571,353.6807142857,4.0,2.0,362.60928571430003,362.60928571430003,0.0,0.0,361.2878571429,4.0,4.0,0.0,0.0,3.0,1,1.0,2.0,,,,351.8014285714,17220.4528571429,5616.197857142901,,,,,,,,,
688,1.0,71,100,1571.4471428572,1571.4471428572,2.0,2.0,1161.0214285714,1161.0214285714,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,,,,,,585.0828571429,,,,,,,,,,,
1520,0.0,51,120,500.0139285714,500.0139285714,2.0,2.0,360.2571428571,360.2571428571,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,,,,,,18.0767857143,,,,,,,,,,,
109,0.0,64,151,1721.2517857143,1721.2517857143,5.0,5.0,1979.8675,1979.8675,589.2857142857,471.1089285714,909.6157142857,60.0,60.0,11.0,32.0,10.0,1,,,,,,1113.5185714286,,,,,,,,,,,
1484,0.0,39,0,1355.0885714286,1355.0885714286,5.0,5.0,768.625,768.625,107.14285714290001,302.4464285714,357.7857142857,23.0,23.0,1.0,16.0,5.0,1,,,,,,0.0,,,,,,1.0,0.0,1.0,25.6091071429,0.0,8.7225
932,1.0,22,126,0.1867857143,0.010714285700000001,2.0,1.0,124.3882142857,124.3882142857,0.0,0.0,121.8525,6.0,6.0,0.0,0.0,4.0,1,1.0,7.0,,,,3060.9460714285997,7537.4032142856995,2116.0714285714002,,,,0.0,0.0,0.0,0.0,0.0,0.0
357,0.0,5,39,0.0028571429,0.0028571429,1.0,1.0,349.8321428571,349.8321428571,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1,,,,,,296.3975,,,,,,,,,,,
1289,1.0,12,20,3298.1178571429,2100.9407142857,7.0,5.0,38436.781071428595,2454.6382142857,0.0,555.7810714286001,1898.8571428572,24.0,22.0,0.0,14.0,8.0,1,3.0,4.0,,,,1904.9267857143,7925.148928571401,0.0,,,,,,,,,
1274,0.0,41,35,993.5571428571001,993.5571428571001,5.0,5.0,2499.6964285714002,2499.6964285714002,107.14285714290001,82.2678571429,2310.2857142857,11.0,11.0,1.0,2.0,8.0,1,,6.0,,,,15.485,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0
668,1.0,55,119,3420.0796428572,2734.4196428572,36.0,30.0,3706.8721428572,2836.0607142857,339.2857142857,638.7571428571,1260.2857142857001,99.0,72.0,10.0,33.0,20.0,1,1.0,1.0,1.0,,,586.9492857143,43701.9692857143,0.0,0.0,,,,,,,,
204,1.0,41,12,349.2710714286,349.2710714286,2.0,2.0,397.25,397.25,357.1428571429,0.0,38.5714285714,6.0,6.0,2.0,0.0,1.0,1,,,,,,0.6821428570999999,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
875,0.0,43,124,362.8582142857,362.8582142857,3.0,3.0,362.0364285714,362.0364285714,217.8571428571,50.2864285714,92.4642857143,19.0,19.0,7.0,7.0,4.0,1,,,,,,50.341071428599996,,,,,,1.0,0.0,0.0,0.2823214286,0.0,0.0
1380,1.0,32,165,0.0003571429,0.0003571429,1.0,1.0,65.3214285714,65.3214285714,21.428571428599998,0.0,43.8928571429,4.0,4.0,2.0,0.0,2.0,1,,,,,,3572.45,,,,,,,,,,,
1331,1.0,79,47,0.3135714286,0.3135714286,1.0,1.0,61.3571428571,61.3571428571,0.0,0.0,60.928571428599994,3.0,3.0,0.0,0.0,2.0,1,,,,,,1091.6975,,,,,,,,,,,
236,1.0,37,168,433.3582142857,433.3582142857,3.0,3.0,512.7392857143,512.7392857143,450.0,35.3464285714,21.428571428599998,25.0,25.0,11.0,3.0,1.0,1,,,,,,561.1032142857,,,,,,0.0,1.0,1.0,0.0,4.8214285714,32.1328571429
725,1.0,31,74,1156.5575,1156.5575,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,,20.0,,,,374.2242857143,,0.0,,,,1.0,0.0,0.0,2.5944642857,0.0,0.0
1545,0.0,60,159,0.051785714299999994,0.0075,8.0,1.0,14.298214285699999,14.2857142857,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,1,1.0,,,,,8478.0903571429,281.9692857143,,,,,0.0,1.0,0.0,0.0,21.2071428571,0.0
248,1.0,27,127,325.0192857143,325.0192857143,3.0,3.0,253.1239285714,253.1239285714,132.1428571429,72.995,47.9860714286,14.0,14.0,4.0,9.0,1.0,1,,,,,,776.5903571429,,,,,,0.0,1.0,0.0,0.0,10.6082142857,0.0
135,0.0,24,82,0.0017857143,0.0017857143,1.0,1.0,169.5382142857,169.5382142857,71.4285714286,95.60964285709998,0.0,10.0,10.0,4.0,4.0,0.0,1,,,,,,184.10607142860002,,,,,,,,,,,
332,0.0,73,37,94.0782142857,94.0782142857,2.0,2.0,295.9514285714,295.9514285714,0.0,115.95142857139999,178.5714285714,4.0,4.0,0.0,2.0,1.0,1,,,,,,80.3285714286,,,,,,,,,,,
1469,1.0,32,15,560.1278571429,555.5128571429,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,4.0,,,,32.5435714286,9686.6310714286,0.0,,,,1.0,1.0,0.0,22.7425,0.21428571429999999,0.0
840,1.0,67,86,336.9085714286,335.73,6.0,4.0,1380.3103571429,1377.9532142857001,71.4285714286,642.8571428571,236.24964285709999,13.0,9.0,2.0,1.0,3.0,1,,,,1.0,,14.7121428571,,,,0.0,,0.0,1.0,0.0,0.0,3.5107142856999998,0.0
1076,1.0,22,61,506.4539285714,504.8667857143,6.0,5.0,679.4589285714,679.4589285714,571.4285714286,0.0,107.81607142860001,5.0,5.0,1.0,0.0,3.0,1,1.0,,,,,142.8571428571,56803.3071428572,,,,,,,,,,
478,0.0,41,11,20.075,20.075,3.0,3.0,247.5,247.5,0.0,0.0,247.5,5.0,5.0,0.0,0.0,5.0,1,,,1.0,,,33573.151785714304,,,0.0,,,0.0,1.0,0.0,0.0,4.5,0.0
703,1.0,21,149,370.1471428571,370.1471428571,5.0,5.0,518.8107142857,126.88214285709999,71.4285714286,55.4535714286,0.0,10.0,6.0,2.0,4.0,0.0,1,,6.0,,,,198.87964285709998,,125.1257142857,,,,0.0,0.0,1.0,0.0,0.0,2.1071428571
1005,0.0,28,87,2507.1132142857,1611.7942857143,31.0,22.0,2408.7817857143,1611.7942857143,117.85714285709999,70.7653571429,555.9346428571,52.0,24.0,4.0,4.0,11.0,1,,,1.0,1.0,1.0,16.2289285714,,,0.0,2.3571428571,983.1507142857,0.0,0.0,1.0,0.0,0.0,10.9642857143
550,1.0,64,179,886.6121428571,886.6121428571,2.0,2.0,896.0107142857,896.0107142857,0.0,0.0,566.6785714286,9.0,9.0,0.0,0.0,7.0,1,,,1.0,,,57.6003571429,,,192.0142857143,,,0.0,0.0,0.0,0.0,0.0,0.0
1116,0.0,24,33,1583.9678571429001,1377.1975,22.0,13.0,1928.2214285714,1673.4182142857,428.5714285714,447.1385714286,467.25,61.0,48.0,5.0,20.0,16.0,1,1.0,,1.0,1.0,1.0,124.1653571429,0.4810714286,,98.2817857143,211.14642857139998,10166.9857142857,0.0,0.0,0.0,0.0,0.0,0.0
976,1.0,58,175,517.4003571429,500.57535714290003,3.0,2.0,236.5,236.5,0.0,0.0,236.5,4.0,4.0,0.0,0.0,4.0,1,1.0,3.0,,,,16.8821428571,1866.0357142857001,9412.8392857143,,,,,,,,,
1063,0.0,5,230,526.7242857143,305.8575,7.0,3.0,292.7385714286,284.95285714290003,0.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,1,,,1.0,,1.0,291.1475,,,0.0,,4116.3114285714,,,,,,
203,1.0,57,181,503.5746428571,503.5746428571,2.0,2.0,556.3928571429,556.3928571429,553.5714285714,0.0,0.0,11.0,11.0,6.0,0.0,0.0,1,,,,,,10.7728571429,,,,,,1.0,1.0,1.0,0.6416071429,16.9453571429,5.7142857143
1037,1.0,59,181,1058.06,797.7528571429,11.0,8.0,1071.5128571429,804.3678571428999,0.0,71.4178571429,468.9642857143,25.0,17.0,0.0,1.0,12.0,1,,,1.0,1.0,,3203.4564285714,,,0.0,0.7142857143000001,,,,,,,
427,0.0,25,20,0.0042857143,0.0042857143,1.0,1.0,33.3071428571,33.3071428571,0.0,32.9857142857,0.0,5.0,5.0,0.0,4.0,0.0,1,,,,,,1194.0639285714,,,,,,,,,,,
519,0.0,17,151,458.9703571429,458.9703571429,2.0,2.0,486.6496428571,486.6496428571,364.2857142857,89.0957142857,30.6610714286,10.0,10.0,3.0,2.0,3.0,1,,,,,,210.84464285709998,,,,,,0.0,1.0,1.0,0.0,5.8928571429,5.5
469,0.0,38,183,1484.0089285714002,1484.0089285714002,5.0,5.0,1549.925,1549.925,500.0,0.0,789.9285714286,13.0,13.0,1.0,0.0,7.0,1,,,,,,4415.6460714285995,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
1004,0.0,70,145,107.1442857143,107.1442857143,2.0,2.0,304.6178571429,304.6178571429,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,1,,,,,,2107.8367857143,,,,,,,,,,,
1001,0.0,64,9,1302.1778571429,1302.1778571429,2.0,2.0,610.3839285714,610.3839285714,353.1696428571,149.7142857143,104.35714285709999,15.0,15.0,4.0,3.0,5.0,1,,,1.0,,,714.4475,,,529.8546428571,,,0.0,1.0,0.0,0.0,10.105714285700001,0.0
